States,ID,Year,ID+Year,Previous,Next,Sucide_number,Sucide_Rate,Sucide_Age_adjected_rate,Past_Oriented,Future_Oriented,GSP,percapitapersonalincome,population,populationgrowthrate,unemploymentrate,Atkinson Index,Gini_Coefficient,Relative Mean Deviation,Theil Index,Top 10%,Top 1%,co2,so2,nox,presidential_election,q_climate_change,q_global_warming,q_recycling,q_disposable,nuclear_ratio,coal_ratio,geothermal_ratio,hydroelectricconventional_ratio,naturalgas_ratio,solarthermalandphotovoltaic_rati,wind_ratio,petroleum_ratio,otherbiomass_ratio,other_ratio,othergases_ratio,pumpedstorage_ratio,woodandwoodderivedfuels_ratio,electricityprice
New York,33,2004,332004,89,80,1187,6.2,6,1.1125,0.898876404,959158,39331,1.90E+07,0,5.8,0.355509609,0.635033846,0.926026106,1.208604932,0.524656832,0.221917108,5.80E+07,236074,84712,0,27,51,51,100,0.29457,0.165642,0,0.173882,0.197833,0,0.000844,0.1537,0.009409,0.00641,0,-0.005894,0.003603,12.55
North Carolina,34,2004,342004,87,83,1027,12,12,1.048192771,0.954022989,331603,30818,8.50E+06,1.6,5.5,0.267473012,0.585412502,0.808345795,0.705883145,0.427193463,0.18180415,7.30E+07,455686,115949,1,0,52,55,0,0.317349,0.598006,0,0.043024,0.020254,0,0,0.004836,0.000888,0.002196,0,0.000619,0.012829,6.97
North Dakota,35,2004,352004,96,84,73,11.5,11.2,1.142857143,0.875,23646,29842,636303,0.9,3.5,0.233945757,0.59171164,0.774931312,0.546298444,0.391980976,0.174343303,3.10E+07,136606,72740,1,0,0,0,0,0,0.937471,0,0.051639,0.000302,0,0.007166,0.001284,0.000187,0,0.001951,0,0,5.69
Ohio,36,2004,362004,87,80,1319,11.5,11.3,1.0875,0.91954023,447956,3.18E+04,1.10E+07,0.2,6.1,0.251183599,0.557914913,0.765926003,0.636718571,0.401135594,0.181629092,1.20E+08,1.00E+06,251127,1,0,56,56,92,0.10752,0.863905,0,0.00492,0.009377,0,0,0.009358,0.000203,7.40E-08,0.002036,0,0.002681,6.89
Oklahoma,37,2004,372004,83,75,506,14.4,14.3,1.106666667,0.903614458,114787,29212,3.50E+06,0.6,5,0.263941139,0.617208719,0.812433183,0.717727661,0.430658489,0.207329109,4.80E+07,103334,77238,1,0,0,0,0,0,0.556589,0,0.049015,0.383431,0,0.009431,0.001125,0,0.000146,0,-0.003851,0.004115,6.5
Oregon,38,2004,382004,84,74,555,15.4,15,1.135135135,0.880952381,142712,31613,3.60E+06,0.6,7.3,0.261472136,0.578541994,0.805413187,0.676783144,0.419420183,0.177481994,9.30E+06,14422,13313,0,0,62,100,0,0,0.069201,0,0.64383,0.263232,0,0.012047,0.001225,0.001676,0.000809,0,0,0.007979,6.21
Pennsylvania,39,2004,392004,85,82,1410,11.4,11.1,1.036585366,0.964705882,483685,34668,1.20E+07,0.3,5.4,0.275348544,0.581055939,0.817375243,0.755313814,0.433818549,0.186510116,1.20E+08,928951,182450,0,30,52,63,89,0.360846,0.545871,0,0.014699,0.045717,0,0.001427,0.019295,0.006007,0.003446,0.00272,-0.003195,0.003167,8
Rhode Island,40,2004,402004,83,74,85,7.9,7.5,1.121621622,0.891566265,43382,35495,1.10E+06,0.3,5.2,0.273000896,0.559398472,0.805078804,0.730487287,0.424543023,0.17466633,2.10E+06,873,2094,0,0,0,0,0,0,0,0,0.001106,0.968516,0,0,0.009824,0.020554,0,0,0,0,10.96
South Carolina,41,2004,412004,78,78,482,11.5,11.3,1,1,136184,28062,4.20E+06,1.5,6.8,0.256166101,0.599226177,0.799184144,0.652548611,0.418460906,0.184681162,4.00E+07,220686,64718,1,0,50,48,0,0.522776,0.397409,0,0.024984,0.038777,0,0,0.008896,0.000704,0.000887,1.00E-07,-0.011733,0.017299,6.22
South Dakota,42,2004,422004,93,77,112,14.5,14.7,1.207792208,0.827956989,30759,32615,774283,0.9,3.7,0.259977102,0.618401706,0.809635639,0.704291105,0.42760542,0.206442714,3.90E+06,13621,16036,1,0,0,0,0,0,0.48201,0,0.479015,0.014947,0,0.020995,0.003032,0,0,0,0,0,6.44
Tennessee,43,2004,432004,80,82,792,13.4,13.1,0.975609756,1.025,219858,30933,5.90E+06,1.1,5.4,0.273791134,0.604667902,0.817718208,0.761137605,0.438068539,0.201224327,5.90E+07,317914,105444,1,0,43,55,0,0.293175,0.594907,0,0.106646,0.002997,0,0.000039,0.001955,0.000428,0.000059,0.000137,-0.00838,0.008036,6.14
Texas,44,2004,442004,93,80,2300,10.2,10.7,1.1625,0.860215054,920387,31081,2.20E+07,1.6,6,0.301110864,0.62460357,0.87014091,0.894703984,0.472137988,0.206002682,2.60E+08,574399,272723,1,17,37,48,77,0.103601,0.381463,0,0.003332,0.483615,0,0.008039,0.00443,0.000645,0.001908,0.01077,0,0.002196,7.95
Utah,45,2004,452004,90,73,377,15.8,17.3,1.232876712,0.811111111,86729,27532,2.40E+06,1.8,5.1,0.265267551,0.581894875,0.804160058,0.715733945,0.421399653,0.193532392,3.60E+07,33725,66129,1,0,54,44,0,0,0.958282,0.0051,0.011772,0.023811,0,0,0.000853,0.0001,0.000082,0,0,0,5.69
Vermont,46,2004,462004,77,79,93,15,14.3,0.974683544,1.025974026,22611,33728,618145,0.3,3.7,0.252839833,0.574620426,0.792004406,0.630518496,0.408646971,0.173730701,21795,66,496,0,0,0,0,0,0.705256,0,0,0.217034,0.000589,0,0.002077,0.003254,0,0,0,0,0.071789,11.02
Virginia,47,2004,472004,94,95,828,11.1,11,0.989473684,1.010638298,332160,37759,7.50E+06,1.5,3.7,0.286924839,0.548100591,0.815211535,0.789565563,0.429561883,0.161397517,4.70E+07,217315,68242,1,46,50,52,67,0.358876,0.451914,0,0.020064,0.081594,0,0,0.065318,0.008862,0.006185,0,-0.01478,0.021966,6.43
Washington,48,2004,482004,89,69,830,13.4,13.2,1.289855072,0.775280899,270836,36689,6.20E+06,1.2,6.2,0.287424356,0.558364451,0.811997116,0.823850453,0.437434107,0.184912443,1.50E+07,14674,24381,0,40,66,70,68,0.087912,0.101887,0,0.700589,0.082893,0,0.00721,0.000841,0.001815,0.000654,0.002695,-0.000096,0.0136,5.8
West Virginia,49,2004,492004,88,77,285,15.7,15.3,1.142857143,0.875,49442,25536,1.80E+06,1.2,5.30E+00,0.221696436,0.583982348,0.741796434,0.481122285,0.378682703,0.163342834,8.30E+07,446924,160052,1,0,0,0,0,0,0.975878,0,0.014688,0.002845,0,0.001796,0.002981,0.000017,0.000142,0.001647,0,6.10E-06,5.13
Wisconsin,50,2004,502004,86,78,662,12,11.8,1.102564103,0.906976744,217319,33393,5.50E+06,0.6,5,0.256441444,0.550884604,0.778657436,0.663841724,0.402610451,0.182289734,5.10E+07,223349,88851,0,0,67,68,0,0.196672,0.697299,0,0.032768,0.039794,0,0.001713,0.013163,0.006708,0.00188,0,0,0.010003,6.88
Wyoming,51,2004,512004,80,76,88,17.4,17.4,1.052631579,0.95,23740,35656,502988,1.1,3.9,0.325200409,0.624536872,0.874591589,1.088238835,0.48578915,0.266980529,4.70E+07,84556,86111,1,0,0,0,0,0,0.967375,0,0.013238,0.001939,0,0.013759,0.001023,0,0.002381,0.000284,0,0,4.98
Alabama,1,2005,12005,79,84,535,11.7,11.5,0.94047619,1.063291139,157520,30194,4.50E+06,0.73,3.8,0.277279764,0.629092753,0.831745327,0.773900151,0.447119027,0.221578464,8.50E+07,455602,131197,1,0,33,28,0,0.229754,0.566359,0,0.073539,0.100541,0,0,0.002415,0.000119,0.000182,0.000775,0,0.026317,6.46
Alaska,2,2005,22005,92,88,131,19.7,20.2,1.045454545,0.956521739,40232,37374,669488,1.2,6.9,0.256850362,0.589147329,0.826218307,0.627658904,0.413383007,0.183252171,4.40E+06,4035,16796,1,0,99,0,0,0,0.094929,0,0.222597,0.566188,0,0.00009,0.115397,0.000741,0,0,0,0.000058,11.72
Arizona,3,2005,32005,74,74,945,15.9,16.2,1,1,226290,32416,6.00E+06,3.74,4.7,0.309106767,0.590745211,0.843239367,0.938289642,0.469443768,0.215875,5.20E+07,47997,75032,1,33,45,33,78,0.254314,0.395586,0,0.063167,0.28472,0.000134,0,0.000426,0.000477,0,0,0.001058,0.000119,7.79
Arkansas,4,2005,42005,78,77,400,14.4,14.2,1.012987013,0.987179487,93719,27990,2.80E+06,1.09,5.1,0.257404268,0.643081307,0.802385509,0.673591733,0.4316248,0.215145335,2.70E+07,96854,44167,1,0,0,0,0,0.286426,0.482004,0,0.064495,0.125656,0,0,0.004354,0.000579,0.00032,0,0.000433,0.035733,6.3
California,5,2005,52005,80,90,3206,8.9,9.1,0.888888889,1.125,1.80E+06,38964,3.60E+07,0.67,5.4,0.344988197,0.617148161,0.911635101,1.119930744,0.506796658,0.210118249,5.50E+07,25628,86239,0,27,44,58,81,0.18051,0.010661,0.065018,0.19787,0.466087,0.00268,0.02128,0.0127,0.011101,0.002094,0.011381,0.000598,0.018019,11.63
Colorado,6,2005,62005,79,75,800,17.1,17.3,1.053333333,0.949367089,221491,38390,4.70E+06,1.33,5.10E+00,0.313120365,0.580472887,0.852329135,0.948114336,0.466440111,0.202643842,4.10E+07,58002,67017,1,51,54,54,89,0,0.716899,0,0.028525,0.240308,0,0.015645,0.000344,0.000683,0,0.000049,-0.00246,9.00E-06,7.64
Connecticut,7,2005,72005,79,79,295,8.4,8.1,1,1,209599,48831,3.50E+06,0.08,4.9,0.393199116,0.612258613,0.949463069,1.390338898,0.540491819,0.205671728,1.20E+07,7759,10520,0,0,57,35,0,0.463852,0.119121,0,0.014253,0.264201,0,0,0.094065,0.022236,0.022055,0.000047,-0.000049,0.000218,12.06
Delaware,8,2005,82005,88,89,83,9.8,9.6,0.988764045,1.011363636,51963,38333,839906,1.6,4,0.301970571,0.558697581,0.819911361,0.892849445,0.448476106,0.209268644,6.90E+06,31271,13562,0,0,0,0,0,0,0.593966,0,0,0.195515,0,0,0.14997,0,0,0.06055,0,0,7.76
District of Columbia,9,2005,92005,100,98,33,6,5.5,1.020408163,0.98,85403,55756,582049,0.39,6.5,0.383385271,0.602424264,0.930645168,1.330636263,0.538619399,0.201442927,235930,829,681,0,100,43,44,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.18
Florida,10,2005,102005,77,85,2347,13.2,12.6,0.905882353,1.103896104,699197,36258,1.80E+07,2.35,3.8,0.360884607,0.667079985,0.943138659,1.246085882,0.543580294,0.2544159,1.30E+08,412419,227230,1,19,39,29,83,0.13057,0.28383,0,0.001208,0.379536,0,0,0.168899,0.010465,0.016251,0.00006,0,0.009181,8.76
Georgia,11,2005,112005,77,80,924,10.2,10.5,0.9625,1.038961039,376048,33000,9.10E+06,2.06,5.2,0.299253523,0.616744637,0.861348629,0.87376833,0.469740331,0.208562866,9.00E+07,645938,125545,1,0,36,42,80,0.230736,0.637913,0,0.029503,0.071495,0,0,0.007559,0.000564,0.000384,0,-0.001531,0.023376,7.43
Hawaii,12,2005,122005,93,100,107,8.4,8.3,0.93,1.075268817,58074,35681,1.30E+06,1.06,2.8,0.274836153,0.576738417,0.808776557,0.743829906,0.431269556,0.200026006,9.10E+06,21440,29647,0,0,49,100,0,0,0.141538,0.019231,0.008348,0,0,0.000576,0.786926,0.026881,0.012931,0.00357,0,0,18.33
Idaho,13,2005,132005,74,71,228,16,16.2,1.042253521,0.959459459,47899,29989,1.40E+06,2.45,3.7,0.279248238,0.629484296,0.835937262,0.795237422,0.449669927,0.225470081,1.30E+06,4945,2189,1,0,71,0,0,0,0.008793,0,0.789112,0.147555,0,0,4.60E-07,0,0.002842,0,0,0.051698,5.12E+00
Illinois,14,2005,142005,79,81,1086,8.5,8.5,0.975308642,1.025316456,587637,37697,1.30E+07,0.23,5.8,0.320546895,0.599004865,0.869925678,0.995925725,0.481169701,0.211563319,1.00E+08,351486,131231,0,17,43,46,84,0.48044,0.475299,0,0.000665,0.036649,0,0.000727,0.001686,0.003306,0.000205,0.001024,0,0,6.95
Indiana,15,2005,152005,79,77,745,11.9,11.9,1.025974026,0.974683544,246995,31472,6.30E+06,0.62,5.4,0.257340372,0.578391194,0.792799234,0.660251439,0.411418766,0.202415213,1.20E+08,801973,204453,1,0,44,48,0,0,0.94218,0,0.003362,0.027731,0,0,0.002,0.000519,0.003332,0.020876,0,0,5.88
Iowa,16,2005,162005,85,78,333,11.2,10.9,1.08974359,0.917647059,123903,33010,2.90E+06,0.28,4.3,0.247250587,0.560311615,0.766513109,0.60647136,0.395464033,0.192192867,4.10E+07,135640,74729,0,0,70,47,0,0.102779,0.775709,0,0.02173,0.056184,0,0.037302,0.003387,0.002646,0.000262,0,0,0,6.69
Kansas,17,2005,172005,79,69,362,13.2,13.1,1.144927536,0.873417722,105773,33437,2.70E+06,0.4,5.1,0.274151713,0.592104435,0.820298374,0.74583751,0.434904456,0.204383299,3.80E+07,123807,82107,1,0,38,40,0,0.192334,0.751825,0,0.000247,0.024802,0,0.009285,0.021507,0,0,0,0,0,6.55
Kentucky,18,2005,182005,80,79,566,13.6,13.3,1.012658228,0.9875,144170,29211,4.20E+06,0.83,6,0.254414558,0.608317435,0.796547592,0.648282409,0.416916788,0.204281032,9.10E+07,456770,151904,1,0,67,42,0,0,0.910662,0,0.030271,0.016909,0,0,0.037626,0.000647,0.000174,0.000051,0,0.003661,5.01
Louisiana,19,2005,192005,81,85,505,11.2,11.1,0.952941176,1.049382716,200327,29380,4.50E+06,0.19,6.7,0.27719605,0.662235796,0.853478849,0.7744717,0.457799375,0.221747458,5.80E+07,127713,95882,1,0,34,26,0,0.16926,0.249278,0,0.008756,0.476888,0,0,0.038234,0.000868,0.005936,0.020479,0,0.030301,8.03
Maine,20,2005,202005,81,65,175,13.2,12.3,1.246153846,0.802469136,46187,32259,1.30E+06,0.26,4.9,0.254961193,0.584545076,0.779393435,0.650576472,0.411796272,0.199071705,7.10E+06,22034,11633,0,0,91,37,0,0,0.016996,0,0.217095,0.445684,0,0,0.086043,0.015402,0.018292,2.90E-06,0,0.200486,10.57
Maryland,21,2005,212005,83,92,472,8.4,8.4,0.902173913,1.108433735,264945,43793,5.60E+06,0.72,4.1,0.307172835,0.539757967,0.824545681,0.896357358,0.438420236,0.180414826,3.40E+07,276172,63781,0,42,46,44,81,0.279202,0.556436,0,0.032351,0.035832,0,0,0.072265,0.007926,0.005574,0.006503,0,0.003911,8.13
Massachusetts,22,2005,222005,84,75,480,7.5,7.2,1.12,0.892857143,346130,44613,6.50E+06,0.03,4.8,0.344325513,0.581118882,0.883241117,1.113628507,0.489028066,0.196460903,2.70E+07,76342,30826,0,47,43,43,93,0.115227,0.253255,0,0.021929,0.428692,0,0,0.147877,0.023956,0.016254,0,-0.009716,0.002526,12.18
Michigan,23,2005,232005,79,79,1108,10.9,10.8,1,1,396102,32952,1.00E+07,0.01,6.8,0.265604466,0.582706153,0.819636822,0.688098192,0.422331601,0.195764497,8.00E+07,360393,123421,0,29,50,43,84,0.270281,0.57822,0,0.012019,0.113172,0,0.000015,0.007216,0.005892,0.00462,0.00306,-0.009096,0.014602,7.23
Minnesota,24,2005,242005,77,75,547,10.7,10.3,1.026666667,0.974025974,244668,37746,5.10E+06,0.54,4.2,0.291609615,0.561903179,0.8167454,0.83538276,0.442482263,0.197126806,4.00E+07,100830,85755,0,31,52,65,86,0.242087,0.621472,0,0.014612,0.051062,0,0.029847,0.014642,0.007795,0.006102,0,0,0.01238,6.61
Mississippi,25,2005,252005,78,83,363,12.4,12.6,0.939759036,1.064102564,82379,26826,2.90E+06,0.49,7.8,0.248050913,0.677090883,0.798114955,0.627434313,0.431828588,0.21448113,2.50E+07,79267,43539,1,0,0,0,0,0.223617,0.369133,0,0,0.340824,0,0,0.03206,0.000119,0.000154,0.000447,0,0.033646,7.54
Missouri,26,2005,262005,75,76,727,12.5,12.4,0.986842105,1.013333333,226067,32716,5.80E+06,0.84,5.4,0.272155225,0.605548024,0.820934653,0.742192805,0.436018825,0.212536871,8.10E+07,273303,115397,1,0,41,43,81,0.088415,0.85256,0,0.012764,0.042563,0,0,0.001863,0.000095,0.000768,0.000026,0.000946,0,6.13
